,year,co2,Mean
101,1851,198.805,
102,1852,207.551,
103,1853,217.209,
104,1854,255.139,
105,1855,260.166,
106,1856,277.292,
107,1857,279.889,
108,1858,284.171,
109,1859,301.312,
110,1860,330.641,
111,1861,347.735,
112,1862,354.057,
113,1863,377.859,
114,1864,407.09,
115,1865,432.307,
116,1866,445.97,
117,1867,477.815,
118,1868,490.753,
119,1869,521.131,
120,1870,532.537,
121,1871,566.143,
122,1872,626.372,
123,1873,665.419,
124,1874,622.997,
125,1875,675.799,
126,1876,685.553,
127,1877,699.099,
128,1878,704.379,
129,1879,754.867,
130,1880,853.705,-0.2
131,1881,882.405,-0.12
132,1882,931.922,-0.1
133,1883,991.032,-0.21
134,1884,1002.174,-0.28
135,1885,1009.671,-0.32
136,1886,1025.475,-0.31
137,1887,1076.758,-0.33
138,1888,1192.272,-0.2
139,1889,1191.8,-0.12
140,1890,1298.458,-0.37
141,1891,1358.874,-0.24
142,1892,1370.088,-0.27
143,1893,1353.669,-0.3
144,1894,1400.858,-0.31
145,1895,1485.273,-0.21
146,1896,1533.701,-0.15
147,1897,1606.301,-0.11
148,1898,1694.266,-0.28
149,1899,1850.798,-0.16
150,1900,1952.209,-0.09
151,1901,2016.744,-0.15
152,1902,2067.684,-0.27
153,1903,2254.095,-0.35
154,1904,2279.749,-0.44
155,1905,2427.313,-0.28
156,1906,2534.734,-0.23
157,1907,2888.308,-0.4
158,1908,2776.404,-0.43
159,1909,2890.468,-0.47
160,1910,3033.82,-0.42
161,1911,3079.215,-0.44
162,1912,3235.538,-0.35
163,1913,3505.865,-0.34
164,1914,3179.912,-0.16
165,1915,3134.378,-0.11
166,1916,3385.277,-0.34
167,1917,3539.853,-0.4
168,1918,3492.84,-0.26
169,1919,3028.56,-0.22
170,1920,3521.062,-0.27
171,1921,3089.464,-0.21
172,1922,3239.736,-0.28
173,1923,3675.398,-0.24
174,1924,3686.099,-0.28
175,1925,3725.637,-0.21
176,1926,3659.297,-0.1
177,1927,3993.754,-0.21
178,1928,3976.071,-0.21
179,1929,4267.657,-0.36
180,1930,3934.73,-0.15
181,1931,3516.94,-0.09
182,1932,3170.801,-0.17
183,1933,3338.349,-0.29
184,1934,3630.765,-0.14
185,1935,3811.112,-0.2
186,1936,4181.088,-0.15
187,1937,4469.369,-0.03
188,1938,4201.28,-0.03
189,1939,4445.443,-0.03
190,1940,4854.658,0.08
191,1941,4965.649,0.12
192,1942,4953.624,0.09
193,1943,5035.077,0.13
194,1944,5110.656,0.25
195,1945,4250.264,0.12
196,1946,4638.339,-0.04
197,1947,5138.49,-0.05
198,1948,5415.709,-0.09
199,1949,5245.849,-0.09
200,1950,6003.272,-0.18
201,1951,6379.796,-0.07
202,1952,6465.727,0.01
203,1953,6647.763,0.08
204,1954,6789.969,-0.13
205,1955,7443.244,-0.15
206,1956,7924.253,-0.2
207,1957,8185.547,0.04
208,1958,8417.624,0.07
209,1959,8856.221,0.03
210,1960,9387.668,-0.02
211,1961,9418.46,0.05
212,1962,9751.06,0.03
213,1963,10271.655,0.06
214,1964,10829.612,-0.2
215,1965,11317.596,-0.1
216,1966,11866.934,-0.05
217,1967,12244.029,-0.02
218,1968,12910.892,-0.07
219,1969,13767.398,0.07
220,1970,14898.716,0.02
221,1971,15505.496,-0.09
222,1972,16228.729,0.01
223,1973,17086.193,0.15
224,1974,17017.477,-0.07
225,1975,17054.627,-0.02
226,1976,17991.887,-0.11
227,1977,18502.846,0.18
228,1978,19077.193,0.07
229,1979,19618.463,0.17
230,1980,19501.264,0.27
231,1981,19036.117,0.33
232,1982,18884.486,0.13
233,1983,19006.539,0.3
234,1984,19664.754,0.15
235,1985,20325.486,0.12
236,1986,20627.359,0.19
237,1987,21273.904,0.33
238,1988,22107.795,0.41
239,1989,22410.402,0.29
240,1990,22757.48,0.44
241,1991,23244.807,0.43
242,1992,22580.023,0.23
243,1993,22812.9,0.24
244,1994,22969.498,0.32
245,1995,23458.713,0.46
246,1996,24159.383,0.35
247,1997,24302.584,0.48
248,1998,24213.26,0.64
249,1999,24732.389,0.42
250,2000,25453.623,0.42
251,2001,25668.049,0.55
252,2002,26281.037,0.63
253,2003,27651.596,0.62
254,2004,28636.695,0.55
255,2005,29614.602,0.69
256,2006,30593.117,0.63
257,2007,31506.789,0.66
258,2008,32085.836,0.54
259,2009,31564.031,0.64
260,2010,33364.348,0.71
261,2011,34487.012,0.6
262,2012,35006.27,0.63
263,2013,35319.203,0.65
264,2014,35577.535,0.74
265,2015,35558.566,0.87
266,2016,35524.191,0.99
267,2017,36096.738,
268,2018,36826.508,
269,2019,37082.559,
270,2020,35264.086,
271,2021,37123.852,
