,type,year,value
0,cement_co2,1750,
1,cement_co2,1751,
2,cement_co2,1752,
3,cement_co2,1753,
4,cement_co2,1754,
5,cement_co2,1755,
6,cement_co2,1756,
7,cement_co2,1757,
8,cement_co2,1758,
9,cement_co2,1759,
10,cement_co2,1760,
11,cement_co2,1761,
12,cement_co2,1762,
13,cement_co2,1763,
14,cement_co2,1764,
15,cement_co2,1765,
16,cement_co2,1766,
17,cement_co2,1767,
18,cement_co2,1768,
19,cement_co2,1769,
20,cement_co2,1770,
21,cement_co2,1771,
22,cement_co2,1772,
23,cement_co2,1773,
24,cement_co2,1774,
25,cement_co2,1775,
26,cement_co2,1776,
27,cement_co2,1777,
28,cement_co2,1778,
29,cement_co2,1779,
30,cement_co2,1780,
31,cement_co2,1781,
32,cement_co2,1782,
33,cement_co2,1783,
34,cement_co2,1784,
35,cement_co2,1785,
36,cement_co2,1786,
37,cement_co2,1787,
38,cement_co2,1788,
39,cement_co2,1789,
40,cement_co2,1790,
41,cement_co2,1791,
42,cement_co2,1792,
43,cement_co2,1793,
44,cement_co2,1794,
45,cement_co2,1795,
46,cement_co2,1796,
47,cement_co2,1797,
48,cement_co2,1798,
49,cement_co2,1799,
50,cement_co2,1800,
51,cement_co2,1801,
52,cement_co2,1802,
53,cement_co2,1803,
54,cement_co2,1804,
55,cement_co2,1805,
56,cement_co2,1806,
57,cement_co2,1807,
58,cement_co2,1808,
59,cement_co2,1809,
60,cement_co2,1810,
61,cement_co2,1811,
62,cement_co2,1812,
63,cement_co2,1813,
64,cement_co2,1814,
65,cement_co2,1815,
66,cement_co2,1816,
67,cement_co2,1817,
68,cement_co2,1818,
69,cement_co2,1819,
70,cement_co2,1820,
71,cement_co2,1821,
72,cement_co2,1822,
73,cement_co2,1823,
74,cement_co2,1824,
75,cement_co2,1825,
76,cement_co2,1826,
77,cement_co2,1827,
78,cement_co2,1828,
79,cement_co2,1829,
80,cement_co2,1830,
81,cement_co2,1831,
82,cement_co2,1832,
83,cement_co2,1833,
84,cement_co2,1834,
85,cement_co2,1835,
86,cement_co2,1836,
87,cement_co2,1837,
88,cement_co2,1838,
89,cement_co2,1839,
90,cement_co2,1840,
91,cement_co2,1841,
92,cement_co2,1842,
93,cement_co2,1843,
94,cement_co2,1844,
95,cement_co2,1845,
96,cement_co2,1846,
97,cement_co2,1847,
98,cement_co2,1848,
99,cement_co2,1849,
100,cement_co2,1850,
101,cement_co2,1851,
102,cement_co2,1852,
103,cement_co2,1853,
104,cement_co2,1854,
105,cement_co2,1855,
106,cement_co2,1856,
107,cement_co2,1857,
108,cement_co2,1858,
109,cement_co2,1859,
110,cement_co2,1860,
111,cement_co2,1861,
112,cement_co2,1862,
113,cement_co2,1863,
114,cement_co2,1864,
115,cement_co2,1865,
116,cement_co2,1866,
117,cement_co2,1867,
118,cement_co2,1868,
119,cement_co2,1869,
120,cement_co2,1870,
121,cement_co2,1871,
122,cement_co2,1872,
123,cement_co2,1873,
124,cement_co2,1874,
125,cement_co2,1875,
126,cement_co2,1876,
127,cement_co2,1877,
128,cement_co2,1878,
129,cement_co2,1879,
130,cement_co2,1880,0.0
131,cement_co2,1881,0.0
132,cement_co2,1882,0.0
133,cement_co2,1883,0.0
134,cement_co2,1884,0.0
135,cement_co2,1885,0.0
136,cement_co2,1886,0.0
137,cement_co2,1887,0.001
138,cement_co2,1888,0.001
139,cement_co2,1889,0.001
140,cement_co2,1890,0.001
141,cement_co2,1891,0.001
142,cement_co2,1892,0.001
143,cement_co2,1893,0.001
144,cement_co2,1894,0.001
145,cement_co2,1895,0.001
146,cement_co2,1896,0.001
147,cement_co2,1897,0.001
148,cement_co2,1898,0.001
149,cement_co2,1899,0.001
150,cement_co2,1900,0.001
151,cement_co2,1901,0.002
152,cement_co2,1902,0.002
153,cement_co2,1903,0.003
154,cement_co2,1904,0.003
155,cement_co2,1905,0.004
156,cement_co2,1906,0.004
157,cement_co2,1907,0.005
158,cement_co2,1908,0.115
159,cement_co2,1909,0.116
160,cement_co2,1910,0.135
